Registration Area Code,Registration Area Name,Registration Centre,Registration Centre Code,Polling Station Code,Polling Station Name,Registered Voters
01451,Prisons,1,Shimo La Tewa Main,049292145100101,Shimo La Tewa Main,375
01451,Prisons,2,Shimo La Tewa Women,049292145100201,Shimo La Tewa Women,10
01451,Prisons,3,Shimo La Tewa Medium,049292145100301,Shimo La Tewa Medium,30
01451,Prisons,5,Kingorani Prison (B),049292145100501,Kingorani Prison (B),34
01451,Prisons,6,Kwale Main Prison (B),049292145100601,Kwale Main Prison (B),59
01451,Prisons,7,Kwale Women,049292145100701,Kwale Women,4
01451,Prisons,8,Kilifi Prison,049292145100801,Kilifi Prison,48
01451,Prisons,9,Kaloleni,049292145100901,Kaloleni,25
01451,Prisons,10,Malindi Prison (B),049292145101001,Malindi Prison (B),154
01451,Prisons,11,Malindi Women,049292145101101,Malindi Women,13
01451,Prisons,12,Hola Prison,049292145101201,Hola Prison,14
01451,Prisons,13,Hindi Prison,049292145101301,Hindi Prison,15
01451,Prisons,14,Taveta Prison,049292145101401,Taveta Prison,31
01451,Prisons,15,Wundanyi,049292145101501,Wundanyi,39
01451,Prisons,16,Voi Remand Prison,049292145101601,Voi Remand Prison,40
01451,Prisons,17,Manyani,049292145101701,Manyani,189
01451,Prisons,18,Garissa Main,049292145101801,Garissa Main,40
01451,Prisons,20,Wajir,049292145102001,Wajir,9
01451,Prisons,21,Mandera,049292145102101,Mandera,4
01451,Prisons,22,Moyale Prison,049292145102201,Moyale Prison,6
01451,Prisons,23,Marsabit Prison,049292145102301,Marsabit Prison,26
01451,Prisons,24,Isiolo Prison,049292145102401,Isiolo Prison,31
01451,Prisons,25,Kangeta Prison,049292145102501,Kangeta Prison,37
01451,Prisons,26,Meru Main,049292145102601,Meru Main,360
01451,Prisons,27,Meru Women,049292145102701,Meru Women,22
01451,Prisons,28,Uruku Prison,049292145102801,Uruku Prison,15
01451,Prisons,30,Chuka,049292145103001,Chuka,34
01451,Prisons,32,Embu Main,049292145103201,Embu Main,349
01451,Prisons,33,Embu Women,049292145103301,Embu Women,33
01451,Prisons,34,Mwingi Prison,049292145103401,Mwingi Prison,52
01451,Prisons,35,Kitui Women,049292145103501,Kitui Women,1
01451,Prisons,36,Kitui Prison (B),049292145103601,Kitui Prison (B),22
01451,Prisons,38,Yatta Prison (B),049292145103801,Yatta Prison (B),49
01451,Prisons,39,Machakos Main,049292145103901,Machakos Main,67
01451,Prisons,40,Machakos Women,049292145104001,Machakos Women,10
01451,Prisons,41,Makueni Prison (B),049292145104101,Makueni Prison (B),115
01451,Prisons,42,Nyandarua Prison,049292145104201,Nyandarua Prison,52
01451,Prisons,43,Nyeri Main,049292145104301,Nyeri Main,276
01451,Prisons,44,Nyeri Women,049292145104401,Nyeri Women,17
01451,Prisons,45,Nyeri Medium,049292145104501,Nyeri Medium,75
01451,Prisons,46,Mwea Prison,049292145104601,Mwea Prison,74
01451,Prisons,47,Kerugoya Prison,049292145104701,Kerugoya Prison,62
01451,Prisons,48,Muranga Priosn,049292145104801,Muranga Priosn,71
01451,Prisons,49,Muranga Women,049292145104901,Muranga Women,5
01451,Prisons,50,Muranjau Prison,049292145105001,Muranjau Prison,22
01451,Prisons,51,Thika Main Prison,049292145105101,Thika Main Prison,14
01451,Prisons,52,Thika Women Prison,049292145105201,Thika Women Prison,5
01451,Prisons,53,Ruiru Prison,049292145105301,Ruiru Prison,51
01451,Prisons,54,Kiambu Prison,049292145105401,Kiambu Prison,90
01451,Prisons,56,Kapenguria,049292145105601,Kapenguria,16
01451,Prisons,57,Maralal,049292145105701,Maralal,38
01451,Prisons,58,Kitale Medium,049292145105801,Kitale Medium,21
01451,Prisons,59,Kitale Annex,049292145105901,Kitale Annex,36
