County Code,County Name,Constituency Code,Constituency Name,Candidate Surname,Candidate Other Names,Party Code,Political Party Name,Abbreviation,Abbreviation Enhanced,Party Code Enhanced
1,Mombasa,1,Changamwe,Alliy,Goshi Juma,Ind,Independent,IND,IND_NAM1_01,IND_NAM1_01
1,Mombasa,1,Changamwe,Daib,Abdi Mohammed,27,Jubilee Party,JP,JP,27
1,Mombasa,1,Changamwe,Fondo,Florence Wawuda,49,Federal Party Of Kenya,FPK,FPK,49
1,Mombasa,1,Changamwe,Kaliih,Paul Munyao,62,Amani National Congress,ANC,ANC,62
1,Mombasa,1,Changamwe,Kiminza,Ezekiel Matuku,Ind,Independent,IND,IND_NAM1_02,IND_NAM1_02
1,Mombasa,1,Changamwe,Kyalo,Kevin Munywoki,12,Wiper Democratic Movement- Kenya,WDM,WDM,12
1,Mombasa,1,Changamwe,Malila,Mutuku Isaac,15,United Democratic Alliance,UDA,UDA,15
1,Mombasa,1,Changamwe,Nganga,Josephine Ndinda,67,Maendeleo Chap Chap Party,MCCP,MCCP,67
1,Mombasa,1,Changamwe,Ojwang,Fredrick Okolla,39,Peoples Democratic Party,PDP,PDP,39
1,Mombasa,1,Changamwe,Omar,Muhiddin Shee,78,Grand Dream Development Party,GDDP,GDDP,78
1,Mombasa,1,Changamwe,Sheikh,Yasser Ali,23,Forum For Restoration Of Democracy-Kenya,FORD-KENYA,FORD-KENYA,23
1,Mombasa,1,Changamwe,Shimbwa,Omar Mwinyi,21,Orange Democratic Movement,ODM,ODM,21
1,Mombasa,1,Changamwe,Tebo,Charles Owuor Rapul,19,Kenya Social Congress,KSC,KSC,19
1,Mombasa,2,Jomvu,Aloo,Dan Aluora,29,National Rainbow Coalition,NARC,NARC,29
1,Mombasa,2,Jomvu,Bady,Bady Twalib,21,Orange Democratic Movement,ODM,ODM,21
1,Mombasa,2,Jomvu,Kajembe,Abdulrahim Ramadhani,Ind,Independent,IND,IND_NAM2_01,IND_NAM2_01
1,Mombasa,2,Jomvu,Lubambo,Juma Athuman,62,Amani National Congress,ANC,ANC,62
1,Mombasa,2,Jomvu,Munyika,Karisa Nzai,15,United Democratic Alliance,UDA,UDA,15
1,Mombasa,2,Jomvu,Ochieng,Michael Bramwel,12,Wiper Democratic Movement- Kenya,WDM,WDM,12
1,Mombasa,2,Jomvu,Onyinkwa,Jared Nyakwara,80,Usawa Kwa Wote Party,USAWA,USAWA,80
1,Mombasa,2,Jomvu,Saburi,Stephen Konde,Ind,Independent,IND,IND_NAM2_02,IND_NAM2_02
1,Mombasa,2,Jomvu,Thoya,Juma Renson,27,Jubilee Party,JP,JP,27
1,Mombasa,3,Kisauni,Bedzimba,Rashid Juma,21,Orange Democratic Movement,ODM,ODM,21
1,Mombasa,3,Kisauni,Dume,Lirkhsane Ngala,12,Wiper Democratic Movement- Kenya,WDM,WDM,12
1,Mombasa,3,Kisauni,Gambo,Beatrice Mbodze,Ind,Independent,IND,IND_NAM3_01,IND_NAM3_01
1,Mombasa,3,Kisauni,Juma,Willis Odhiambo,Ind,Independent,IND,IND_NAM3_02,IND_NAM3_02
1,Mombasa,3,Kisauni,Mbarak,Mbarak Hamid,15,United Democratic Alliance,UDA,UDA,15
1,Mombasa,3,Kisauni,Mwaluma,Haginson Mwandawiro,Ind,Independent,IND,IND_NAM3_03,IND_NAM3_03
1,Mombasa,3,Kisauni,Ojwan'g,David Aundho,Ind,Independent,IND,IND_NAM3_04,IND_NAM3_04
1,Mombasa,3,Kisauni,Zuma,Henry Chiguba,88,Tujibebe Wakenya Party,JIBEBE,JIBEBE,88
1,Mombasa,4,Nyali,Mohamed,Mohamed Ali,15,United Democratic Alliance,UDA,UDA,15
1,Mombasa,4,Nyali,Mwarandu,Ferdinand Katana C,30,Kenya African Democratic Union-Asili,KADU-ASILI,KADU-ASILI,30
1,Mombasa,4,Nyali,Ndere,Joshua Otieno,Ind,Independent,IND,IND_NAM4_01,IND_NAM4_01
1,Mombasa,4,Nyali,Noor,Yasir Noor Mohamed,27,Jubilee Party,JP,JP,27
1,Mombasa,4,Nyali,Odhiambo,Millicent L Atieno,12,Wiper Democratic Movement- Kenya,WDM,WDM,12
1,Mombasa,4,Nyali,Omondi,Edward Markosewe,91,Pamoja African Alliance,PAA,PAA,91
1,Mombasa,4,Nyali,Otieno,Japheth Marine,Ind,Independent,IND,IND_NAM4_02,IND_NAM4_02
1,Mombasa,4,Nyali,Salim,Said Abdalla,21,Orange Democratic Movement,ODM,ODM,21
1,Mombasa,4,Nyali,Stanley,Eric Gitonga,Ind,Independent,IND,IND_NAM4_03,IND_NAM4_03
1,Mombasa,5,Likoni,Domoko,Khamis Ali,Ind,Independent,IND,IND_NAM5_01,IND_NAM5_01
1,Mombasa,5,Likoni,Mbete,Janet Ndago,27,Jubilee Party,JP,JP,27
1,Mombasa,5,Likoni,Mboko,Mishi Juma Khamisi,21,Orange Democratic Movement,ODM,ODM,21
1,Mombasa,5,Likoni,Muoga,Jacob Boaz,85,Democratic Action Party-Kenya,DAP-K,DAP-K,85
1,Mombasa,5,Likoni,Mwahima,Mohamed Mwalimu,15,United Democratic Alliance,UDA,UDA,15
1,Mombasa,5,Likoni,Mwamtoa,Hassan Bakari,62,Amani National Congress,ANC,ANC,62
1,Mombasa,5,Likoni,Mwidani,Hamisi Musa,Ind,Independent,IND,IND_NAM5_02,IND_NAM5_02
1,Mombasa,5,Likoni,Obado,Yaq'ub Aluoch,41,United Democratic Movement,UDM,UDM,41
1,Mombasa,5,Likoni,Omar,Ahmed Salama,91,Pamoja African Alliance,PAA,PAA,91
1,Mombasa,5,Likoni,Omuko,Duncan Otieno,60,Vibrant Democratic Party,VDP,VDP,60
1,Mombasa,5,Likoni,Vyakweli,Mbaruku Ali,12,Wiper Democratic Movement- Kenya,WDM,WDM,12
1,Mombasa,6,Mvita,Damnan,Sadat Salim,Ind,Independent,IND,IND_NAM6_01,IND_NAM6_01
1,Mombasa,6,Mvita,Ducale,Mohamed Issa,33,Kenya African National Union,KANU,KANU,33
1,Mombasa,6,Mvita,Hamid,Narqab Rishad,46,United Party Of Independent Alliance,UPIA,UPIA,46
1,Mombasa,6,Mvita,Heris,Zuhura Said,Ind,Independent,IND,IND_NAM6_02,IND_NAM6_02
1,Mombasa,6,Mvita,Juma,Mohamed Ali Mohamed,12,Wiper Democratic Movement- Kenya,WDM,WDM,12
1,Mombasa,6,Mvita,Machele,Mohamed Soud,21,Orange Democratic Movement,ODM,ODM,21
1,Mombasa,6,Mvita,Mohamed,Murshid Abdalla,79,United Green Movement,UGM,UGM,79
1,Mombasa,6,Mvita,Mohammed,Said Twaha,91,Pamoja African Alliance,PAA,PAA,91
1,Mombasa,6,Mvita,Muhsin,Khadija Abdalla,27,Jubilee Party,JP,JP,27
1,Mombasa,6,Mvita,Mwatsahu,Ali Ramadhani,90,Umoja Summit Party,USP,USP,90
1,Mombasa,6,Mvita,Omar,Omar Abdalla,80,Usawa Kwa Wote Party,USAWA,USAWA,80
1,Mombasa,6,Mvita,Parikh,Rishi Arun,30,Kenya African Democratic Union-Asili,KADU-ASILI,KADU-ASILI,30
1,Mombasa,6,Mvita,Shallo,Omar Mahmud Mohamed,15,United Democratic Alliance,UDA,UDA,15
1,Mombasa,6,Mvita,Sheriff,Feisal Omar,Ind,Independent,IND,IND_NAM6_03,IND_NAM6_03
1,Mombasa,6,Mvita,Sumba,Hassan Rajab,62,Amani National Congress,ANC,ANC,62
1,Mombasa,6,Mvita,Wekoma,Patrick Renson Alfred,1,National Rainbow Coalition-Kenya,NARC-KENYA,NARC-KENYA,1
2,Kwale,7,Msambweni,Abdurahman,Sheikh Mahmoud,Ind,Independent,IND,IND_NAM7_01,IND_NAM7_01
2,Kwale,7,Msambweni,Ikandi,Everlyn Kamene,27,Jubilee Party,JP,JP,27
2,Kwale,7,Msambweni,Kilalo,Bashiri Mohamed,Ind,Independent,IND,IND_NAM7_02,IND_NAM7_02
2,Kwale,7,Msambweni,Maina,Cosmus Wamugi,40,The New Democrats,TND,TND,40
2,Kwale,7,Msambweni,Mwakulonda,Ali Hassani,21,Orange Democratic Movement,ODM,ODM,21
2,Kwale,7,Msambweni,Nzuki,Peter Nyamai,62,Amani National Congress,ANC,ANC,62
2,Kwale,7,Msambweni,Salim,Feisal Bader,15,United Democratic Alliance,UDA,UDA,15
2,Kwale,7,Msambweni,Sarai,Salwa Hemedi,12,Wiper Democratic Movement- Kenya,WDM,WDM,12
2,Kwale,7,Msambweni,Wamwachai,Marere Mwarapayo,2,The National Vision Party,NVP,NVP,2
2,Kwale,8,Lungalunga,Chiforomodo,Mangale Munga,41,United Democratic Movement,UDM,UDM,41
2,Kwale,8,Lungalunga,Kitonga,Joseph Kithuku Muki,12,Wiper Democratic Movement- Kenya,WDM,WDM,12
2,Kwale,8,Lungalunga,Mwadzaya,Said Mbovu Hassan W,23,Forum For Restoration Of Democracy-Kenya,FORD-KENYA,FORD-KENYA,23
2,Kwale,8,Lungalunga,Mwashetani,Khatib Abdallah,15,United Democratic Alliance,UDA,UDA,15
2,Kwale,8,Lungalunga,Mwilu,Benson Mutisya,27,Jubilee Party,JP,JP,27
2,Kwale,8,Lungalunga,Ngome,Stephen Mkaila,34,Safina,SAFINA,SAFINA,34
2,Kwale,8,Lungalunga,Ngozi,Abdallah Jumaa,91,Pamoja African Alliance,PAA,PAA,91
2,Kwale,8,Lungalunga,Ngui,Sammy Mwema,79,United Green Movement,UGM,UGM,79
2,Kwale,8,Lungalunga,Tsuma,Murabu Chaka,21,Orange Democratic Movement,ODM,ODM,21
2,Kwale,8,Lungalunga,Zonga,Omari Mbwana,85,Democratic Action Party-Kenya,DAP-K,DAP-K,85
2,Kwale,9,Matuga,Bakari,Masudi Mwakomango Omar,12,Wiper Democratic Movement- Kenya,WDM,WDM,12
2,Kwale,9,Matuga,Bungale,Ramadhani Masudi,41,United Democratic Movement,UDM,UDM,41
