County Code,County Name,Candidate Surname,Candidate Other Names,Party Code,Political Party Name,Abbreviation,Abbreviation Enhanced,Party Code Enhanced
1,Mombasa,Bwire,Charles Okumu,62,Amani National Congress,ANC,ANC,62
1,Mombasa,Elisha,Kilale Lawrence,88,Tujibebe Wakenya Party,JIBEBE,JIBEBE,88
1,Mombasa,Kassim,Abdusalaam Ali,12,Wiper Democratic Movement- Kenya,WDM,WDM,12
1,Mombasa,Katana,Hazel Nyamoki,27,Jubilee Party,JP,JP,27
1,Mombasa,Miraj,Abdalla Abubakar,91,Pamoja African Alliance,PAA,PAA,91
1,Mombasa,Mittau,Peterson,67,Maendeleo Chap Chap Party,MCCP,MCCP,67
1,Mombasa,Mohamed,Mohamed Amir,Ind,Independent,IND,IND_SEN1_01,IND_SEN1_01
1,Mombasa,Mutune,Cornelius Muuke,46,United Party Of Independent Alliance,UPIA,UPIA,46
1,Mombasa,Mwaguya,Hamisi Mashobo,15,United Democratic Alliance,UDA,UDA,15
1,Mombasa,Mwidau,Hisham Abdulla,Ind,Independent,IND,IND_SEN1_02,IND_SEN1_02
1,Mombasa,Mwinyihaji,Mohamed Faki,21,Orange Democratic Movement,ODM,ODM,21
1,Mombasa,Somo,Alamin Siwa,Ind,Independent,IND,IND_SEN1_03,IND_SEN1_03
2,Kwale,Akelo,Prisca Oyuga,83,National Ordinary Peoples Empowerment Union,NOPEU,NOPEU,83
2,Kwale,Boy,Issa Juma,21,Orange Democratic Movement,ODM,ODM,21
2,Kwale,Hassan,Nuru Lula,80,Usawa Kwa Wote Party,USAWA,USAWA,80
2,Kwale,Kizuka,Mwanasha Suleiman,12,Wiper Democratic Movement- Kenya,WDM,WDM,12
2,Kwale,Mwadumbo,Salim Ali,62,Amani National Congress,ANC,ANC,62
2,Kwale,Ndeti,William,13,Democratic Party Of Kenya,DP,DP,13
2,Kwale,Nzili,Mudzo Kuhenderwa,91,Pamoja African Alliance,PAA,PAA,91
