County Code,County Name,Candidate Surname,Candidate Other Names,Party Code,Political Party Name,Abbreviation,Abbreviation Enhanced,Party Code Enhanced
1,Mombasa,Abdalla,Amina,27,Jubilee Party,JP,JP,27
1,Mombasa,Barayan,Fatma Bakari Omar,15,United Democratic Alliance,UDA,UDA,15
1,Mombasa,Kighala,Phenny  Mwangura,88,Tujibebe Wakenya Party,JIBEBE,JIBEBE,88
1,Mombasa,Koske,Esther Cheptanui,12,Wiper Democratic Movement- Kenya,WDM,WDM,12
1,Mombasa,Mohamed,Zamzam  Chimba,21,Orange Democratic Movement,ODM,ODM,21
1,Mombasa,Mohdhar,Lubna Nassir,Ind,Independent,IND,IND_WMNA1_01,IND_WMNA1_01
1,Mombasa,Obura,Zipporah Tabu,Ind,Independent,IND,IND_WMNA1_02,IND_WMNA1_02
1,Mombasa,Odero,Ednah Mildred Amimo,46,United Party Of Independent Alliance,UPIA,UPIA,46
1,Mombasa,Omar,Zainab Abdallah,80,Usawa Kwa Wote Party,USAWA,USAWA,80
1,Mombasa,Rama,Afiya Mkuwewa,62,Amani National Congress,ANC,ANC,62
1,Mombasa,Waweru,Elizabeth Muthoni,90,Umoja Summit Party,USP,USP,90
1,Mombasa,Zaja,Hamisa Maalim,79,United Green Movement,UGM,UGM,79
2,Kwale,Chitsangi,Zainab  Athuman Matano,Ind,Independent,IND,IND_WMNA2_01,IND_WMNA2_01
2,Kwale,Masha,Bibi Salim,15,United Democratic Alliance,UDA,UDA,15
2,Kwale,Masito,Fatuma Hamisi,21,Orange Democratic Movement,ODM,ODM,21
2,Kwale,Mwanasaid,Ntembe Makoti,62,Amani National Congress,ANC,ANC,62
2,Kwale,Mwasina,Nimusimu Iddi,85,Democratic Action Party-Kenya,DAP-K,DAP-K,85
2,Kwale,Shee,Husna Mwalimu,41,United Democratic Movement,UDM,UDM,41
3,Kilifi,Baya,Juliet Riziki,15,United Democratic Alliance,UDA,UDA,15
3,Kilifi,Fondo,Christine Zawadi Gona,91,Pamoja African Alliance,PAA,PAA,91
3,Kilifi,Kombe,Mary Luvuno,Ind,Independent,IND,IND_WMNA3_01,IND_WMNA3_01
3,Kilifi,Mwanyanje,Gertrude Mbeyu,21,Orange Democratic Movement,ODM,ODM,21
3,Kilifi,Ochieng,Maureen Atieno,Ind,Independent,IND,IND_WMNA3_02,IND_WMNA3_02
3,Kilifi,Wesa,Ephie Chari,30,Kenya African Democratic Union-Asili,KADU-ASILI,KADU-ASILI,30
4,Tana River,Abdullahi,Amina Dika,33,Kenya African National Union,KANU,KANU,33
4,Tana River,Abio,Alfelt Mumbo,23,Forum For Restoration Of Democracy-Kenya,FORD-KENYA,FORD-KENYA,23
4,Tana River,Buyotu,Nyathan Ralia,40,The New Democrats,TND,TND,40
4,Tana River,Duri,Halima Ware,82,The Service Party,TSP,TSP,82
4,Tana River,Hadida,Melisa Nkondo,21,Orange Democratic Movement,ODM,ODM,21
4,Tana River,Hussein,Sadia Sango,15,United Democratic Alliance,UDA,UDA,15
4,Tana River,Komora,Mwanahamisi Omar,34,Safina,SAFINA,SAFINA,34
