County Code,County Name,Candidate Surname,Candidate Other Names,Running Mate Surname,Running Mate Other Names,Party Code,Political Party Name,Abbreviation,Abbreviation Enhanced,Party Code Enhanced
1,Mombasa,Bollo,Hezron Awiti,Jembe,Bethline Kadzo,60,Vibrant Democratic Party,VDP,VDP,60
1,Mombasa,Hassan,Hassan Omar,Maitha,Selina James,15,United Democratic Alliance,UDA,UDA,15
1,Mombasa,Kingi,William Kazungu,Jama,Amin Ali,91,Pamoja African Alliance,PAA,PAA,91
1,Mombasa,Kitsao,Daniel Munga,Mwaruwa,Abdalla Hemed,Ind,Independent,IND,IND_GOV1_01,IND_GOV1_01
1,Mombasa,Makazi,Shafii Mwaganda,Nzaro,Salim Omar,46,United Party Of Independent Alliance,UPIA,UPIA,46
1,Mombasa,Nassir,Abdullswama d Sheriff,Foleni,Francis Thoya,21,Orange Democratic Movement,ODM,ODM,21
1,Mombasa,Omari,Said Abdalla,Walugembe,Fatma Abdul,80,Usawa Kwa Wote Party,USAWA,USAWA,80
2,Kwale,Achani,Fatuma Mohamed,Kombo,Chirema Josephat,15,United Democratic Alliance,UDA,UDA,15
2,Kwale,Boga,Hamadi Iddi,Mwatsahu,Nurrein HassanNdao,21,Orange Democratic Movement,ODM,ODM,21
2,Kwale,Dena,James Daniel Gereza,Mohamed,Samira Sayyid Ahmed,33,Kenya African National Union,KANU,KANU,33
2,Kwale,Mangale,Lunganzi Chai,Mwarora,Athman Salim,91,Pamoja African Alliance,PAA,PAA,91
2,Kwale,Mwakwere,Chirau Ali,Paul,Newton Kioko,12,Wiper Democratic Movement- Kenya,WDM,WDM,12
2,Kwale,Ruwa,Sammy Nyamawi,Ali,Zainab Hassan,Ind,Independent,IND,IND_GOV2_01,IND_GOV2_01
3,Kilifi,Esposito,Franco KasosoBaya,Kahindi,Samuel Karisa,Ind,Independent,IND,IND_GOV3_01,IND_GOV3_01
3,Kilifi,Jefwa,Michael Tinga,Mweni,Livingston Masha,23,Forum For Restoration Of Democracy-Kenya,FORD-KENYA,FORD-KENYA,23
3,Kilifi,Katana,Aisha Jumwa Karisa,Nzai,Emmanuel Kombe,15,United Democratic Alliance,UDA,UDA,15
3,Kilifi,Kithi,George,Mohamed,Athman Seif,91,Pamoja African Alliance,PAA,PAA,91
3,Kilifi,Kombe,David F Noti,Kitumbui,Caroline,90,Umoja Summit Party,USP,USP,90
3,Kilifi,Mbaru,Alphonce Dzombo,Baya,Rita Mali,34,Safina,SAFINA,SAFINA,34
3,Kilifi,Mungaro,Maitha Gideon,Chibule,Flora Margaret Mbetsa,21,Orange Democratic Movement,ODM,ODM,21
4,Tana River,Abdi,Nuh Nassir,Alii,Alii Abass,46,United Party Of Independent Alliance,UPIA,UPIA,46
4,Tana River,Dado,Tuneya Hussein,Sane,Ibrahim Ahmed,15,United Democratic Alliance,UDA,UDA,15
4,Tana River,Deye,Anania Karhayu,Mwaruka,Enos Jilo,32,Communist Party Of Kenya,CPK,CPK,32
4,Tana River,Dhidha,Adam Barissa,Buketa,Omar  Wachu,82,The Service Party,TSP,TSP,82
4,Tana River,Godhana,Dhadho Gaddae,Loka,Mahadhi  Ali,21,Orange Democratic Movement,ODM,ODM,21
4,Tana River,Kofa,Asman,Munyoki,Patrick,62,Amani National Congress,ANC,ANC,62
4,Tana River,Komora,Omar  Kofa,naya,Ayub Makiso,79,United Green Movement,UGM,UGM,79
4,Tana River,Morowa,Hassan Malibe,Randu,Rashid Nzai,91,Pamoja African Alliance,PAA,PAA,91
4,Tana River,Nkaduda,Michael Justin,Mwakio,Jeremiah Kimigho,40,The New Democrats,TND,TND,40
4,Tana River,Odha,Swaleh Jillo,Bashora,Doyo Fares,80,Usawa Kwa Wote Party,USAWA,USAWA,80
4,Tana River,Salim,Kea Batuyu,Omar,Komora Said,Ind,Independent,IND,IND_GOV4_01,IND_GOV4_01
4,Tana River,Wario,Ali,Mohamed,Rukia Abdi,27,Jubilee Party,JP,JP,27
4,Tana River,Yesse,Suleman Buko,Njiru,Gabriel Nyagah,23,Forum For Restoration Of Democracy-Kenya,FORD-KENYA,FORD-KENYA,23
5,Lamu,Mugo,Eric Kinyua,Mwakidudu,Dickson Foundo,1,National Rainbow Coalition-Kenya,NARC-KENYA,NARC-KENYA,1
5,Lamu,Omar,Umra,Kariuki,Julius Ndegwa,34,Safina,SAFINA,SAFINA,34
5,Lamu,Timamy,Issa Abdalla,Ndung'u,Raphael Munyua,62,Amani National Congress,ANC,ANC,62
5,Lamu,Twaha,Fahim Yasin,Salim,Haji Mahmoud,27,Jubilee Party,JP,JP,27
6,Taita Taveta,Mgendi,Faustin Mwanyolo,Kimuyu,Immah Nduku,82,The Service Party,TSP,TSP,82
6,Taita Taveta,Mruttu,John  Mtuta,Oben,Janet Wauda Mwawasi,15,United Democratic Alliance,UDA,UDA,15
6,Taita Taveta,Mwadime,Andrew,Kilalo,Christine Ruth Saru,Ind,Independent,IND,IND_GOV6_01,IND_GOV6_01
6,Taita Taveta,Mwaghania,Godino Mwasaru,Mdindi,Hellen Chanya,Ind,Independent,IND,IND_GOV6_02,IND_GOV6_02
6,Taita Taveta,Mwaita,Francis Wandogho,Waema,Mirriam Mbithe,34,Safina,SAFINA,SAFINA,34
6,Taita Taveta,Mwakesi,Stephen William,Kibai,Sophy Wali,38,Peoples Empowerment Party,PEP,PEP,38
6,Taita Taveta,Mwakulegw A,Danson Mwazo,Mwikamba,Joseph Mwandau,12,Wiper Democratic Movement- Kenya,WDM,WDM,12
6,Taita Taveta,Mwakwida,Thomas Dixon,Mwanyuma,Gloria Hope Mugambi,21,Orange Democratic Movement,ODM,ODM,21
6,Taita Taveta,Mwandembo,George Mwazighe,Mkanjala,Rosalia,85,Democratic Action Party-Kenya,DAP-K,DAP-K,85
6,Taita Taveta,Mwang'omb e,Agnes Wakesho,Mwanyumb a,Patrick Mwambi,62,Amani National Congress,ANC,ANC,62
6,Taita Taveta,Mwinzi,Onesmus Nzioki,Mwandoe,Elijah Mwamidi,Ind,Independent,IND,IND_GOV6_03,IND_GOV6_03
6,Taita Taveta,Nyange,Patience Sanguli,Salimo,Habel Mwagha,29,National Rainbow Coalition,NARC,NARC,29
6,Taita Taveta,Samboja,Granton Graham,Mwadime,Pricilar,27,Jubilee Party,JP,JP,27
7,Garissa,Adan,Nathif Jama,Muhumed,Abdi Dagane,21,Orange Democratic Movement,ODM,ODM,21
7,Garissa,Barrow,Dekow Mohamed,Yere,Abdi Mohamed,15,United Democratic Alliance,UDA,UDA,15
7,Garissa,Haji Dahir,Abdilatif Mohamed,Ilmoge,Hassan Aden,85,Democratic Action Party-Kenya,DAP-K,DAP-K,85
7,Garissa,Hassan,Yussuf Ahmed,Kuno,Hassan Omar,1,National Rainbow Coalition-Kenya,NARC-KENYA,NARC-KENYA,1
7,Garissa,Korane,Ali Bunow,Shaiye,Aden Mohamed,27,Jubilee Party,JP,JP,27
8,Wajir,Abdullahi,Siyad Abdille,Baraka,Abdia Hassan,12,Wiper Democratic Movement- Kenya,WDM,WDM,12
8,Wajir,Adam,Hassan Mohamed,Abdi,Abdi Mohamed,27,Jubilee Party,JP,JP,27
8,Wajir,Ali,Abdullahi Ibrahim,Ali,Mahat Salat,41,United Democratic Movement,UDM,UDM,41
8,Wajir,Elmi,Mohamed Ibrahim,Abdikarim,Wardere Hassan,Ind,Independent,IND,IND_GOV8_01,IND_GOV8_01
8,Wajir,Jiir,Ahmed Abdullahi Mohamad,Abdi,Ahmed Muhumed,21,Orange Democratic Movement,ODM,ODM,21
8,Wajir,Mahamud,Mohamed Abdi,Diriye,Abdifatah Mohamed,Ind,Independent,IND,IND_GOV8_02,IND_GOV8_02
8,Wajir,Mohamed,Ugas Sheikh,Abdinoor,Abdirashid Yussuf,62,Amani National Congress,ANC,ANC,62
8,Wajir,Muktar,Ahmed Ali,Elmi,Mohamed Yussuf,15,United Democratic Alliance,UDA,UDA,15
8,Wajir,Warfa,Sirad Osman,Yussuf,Jimale Abdinoor,29,National Rainbow Coalition,NARC,NARC,29
9,Mandera,Aden,Noor Ali,Mohamed,Hussein Hassan Sheikh,15,United Democratic Alliance,UDA,UDA,15
9,Mandera,Hassan,Hassan Noor,Ali,Mohamed Hussein,21,Orange Democratic Movement,ODM,ODM,21
9,Mandera,Jari,Adan Abdulla Mohamed,Arap,Abbey Dahir,27,Jubilee Party,JP,JP,27
9,Mandera,Khalif,Mohamed Adan,Mohamud,Ali Maalim,41,United Democratic Movement,UDM,UDM,41
10,Marsabit,Ali,Mohamud Mohamed,Riwe,Solomon Gubo,41,United Democratic Movement,UDM,UDM,41
10,Marsabit,Ganya,Francis Chachu,Hirbo,Guyo Hirbo,33,Kenya African National Union,KANU,KANU,33
10,Marsabit,Harsama,Philip Kello,Lenarokushu,Stephen Loigusugus,15,United Democratic Alliance,UDA,UDA,15
10,Marsabit,Orre,Sunya,Chiwe,James Elijah,62,Amani National Congress,ANC,ANC,62
10,Marsabit,Wako,Wario Guyo,Alla,Osman Ibrahim,27,Jubilee Party,JP,JP,27
10,Marsabit,Wario,Pius Yattani,Male,Sole Male,46,United Party Of Independent Alliance,UPIA,UPIA,46
11,Isiolo,Adhi,Godana Doyo,Mohamed,Omar Hassan,Ind,Independent,IND,IND_GOV11_01,IND_GOV11_01
11,Isiolo,Dabasso,Hussein Tene,Ntongondtu,Nicholas Mugambi,15,United Democratic Alliance,UDA,UDA,15
11,Isiolo,Hassan,Abdi Ibrahim,Lowasa,James Long'or,27,Jubilee Party,JP,JP,27
11,Isiolo,Machuguma,Kimaita John,Giro,Boru Dima,34,Safina,SAFINA,SAFINA,34
11,Isiolo,Maorwe,Kenneth Turibu,Mohamed,Ibrahim Issack,14,Party Of National Unity,PNU,PNU,14
11,Isiolo,Waqo,Halakhe Dida,Maingi,Domiziano Laikuru,21,Orange Democratic Movement,ODM,ODM,21
12,Meru,Linturi,Franklin Mithika,Kiome,Lindah Gakii,15,United Democratic Alliance,UDA,UDA,15
12,Meru,Murungi,Kiraitu,Ntuchiu,Titus,8,Devolution Empowerment Party,DEP,DEP,8
12,Meru,Mwangaza,Kawira,M`Ethingia,Mutuma Isaac,Ind,Independent,IND,IND_GOV12_01,IND_GOV12_01
13,Tharaka - Nithi,Kagwima,Francis Nyamu,Mputhia,Jones Munene,12,Wiper Democratic Movement- Kenya,WDM,WDM,12
13,Tharaka - Nithi,Kibunjia,Mzalendo Nyaga,Micheni,Gideon Elias Ruriani,1,National Rainbow Coalition-Kenya,NARC-KENYA,NARC-KENYA,1
13,Tharaka - Nithi,Mbiuki,Ashford Kaugi,Muthengi,Nathan Murori,Ind,Independent,IND,IND_GOV13_01,IND_GOV13_01
13,Tharaka - Nithi,Mbiuki,Felix Gitari,Gaichura,Samuel Mugwiria Mwarania,87,Chama Cha Kazi,KAZI,KAZI,87
13,Tharaka - Nithi,Njoka,Erastus Nyaga,Rukunja,Geoffrey Mucee Chabari,27,Jubilee Party,JP,JP,27
13,Tharaka - Nithi,Njuki,Onesmus Muthomi,Derebia,Muisrael Nyagah,15,United Democratic Alliance,UDA,UDA,15
14,Embu,Kathuri,Emilio Mureithi,Njuki,Emily Thaara,27,Jubilee Party,JP,JP,27
14,Embu,Kivuti,Lenny Maxwell,Ireri,Joseph Nyaga,8,Devolution Empowerment Party,DEP,DEP,8
14,Embu,Kumantha,Dr Peter Njagi Njuki,Njeru,Enos Hudson Nthia,13,Democratic Party Of Kenya,DP,DP,13
14,Embu,Mbarire,Cecily Mutitu,Mugo,Justus Kinywa,15,United Democratic Alliance,UDA,UDA,15
15,Kitui,Malombe,Julius Makau,Wambua,Augustine Kanani,12,Wiper Democratic Movement- Kenya,WDM,WDM,12
15,Kitui,Mueke,Jonathan Mwangangi,Kilungya,Stephen Mwema,15,United Democratic Alliance,UDA,UDA,15
15,Kitui,Musila,David,Moki,Kennedy,27,Jubilee Party,JP,JP,27
15,Kitui,Ngilu,Charity Kaluki,Nzau,Gideon Wathe,29,National Rainbow Coalition,NARC,NARC,29
16,Machakos,Maliti,Francis Wambua,Wambua,Rose Ndinda,67,Maendeleo Chap Chap Party,MCCP,MCCP,67
16,Machakos,Mulwa,Rose Mbithe,Mwikya,Heather Wanzila,75,Empowerment And Liberation Party,ELP,ELP,75
16,Machakos,Muthama,Johnson Nduya,Muli,Ndunge,15,United Democratic Alliance,UDA,UDA,15
16,Machakos,Ndeti,Wavinya,Kilonzo,Francis Mwangangi,12,Wiper Democratic Movement- Kenya,WDM,WDM,12
16,Machakos,Waita,Nzioka Siwadie,Mwangangi,Florence Muoti,36,Chama Cha Uzalendo,CCU,CCU,36
17,Makueni,Junior,Mutula Kilonzo,Mulili,Lucy Mumbua,12,Wiper Democratic Movement- Kenya,WDM,WDM,12
