County  Code,County  Name,Constituency Code,Constituency Name,Ward Code,Ward Name,Candidate Surname,Candidate Other Names,Party Code,Political  Party Name,Abbreviation,Abbreviation Enhanced,Party Code Enhanced
1,Mombasa,1,Changamwe,1,Port Reitz,Abushiri,Esha  Abdallah,41,United Democratic Movement,UDM,UDM,41
1,Mombasa,1,Changamwe,1,Port Reitz,Aloo,Nicholas Otieno,60,Vibrant Democratic Party,VDP,VDP,60
1,Mombasa,1,Changamwe,1,Port Reitz,Baya,Bakari Salim,33,Kenya African National Union,KANU,KANU,33
1,Mombasa,1,Changamwe,1,Port Reitz,Bogita,Robert Misati,15,United Democratic Alliance,UDA,UDA,15
1,Mombasa,1,Changamwe,1,Port Reitz,Brek,Abdulmajid Swaleh,80,Usawa Kwa Wote Party,USAWA,USAWA,80
1,Mombasa,1,Changamwe,1,Port Reitz,Buyalah,Michael Okwallah,27,Jubilee Party,JP,JP,27
1,Mombasa,1,Changamwe,1,Port Reitz,Juba,Ahmed  Kibwana,Ind,Independent,IND,IND_CAW1_01,IND_CAW1_01
1,Mombasa,1,Changamwe,1,Port Reitz,Kamango,Wilson Karisa,Ind,Independent,IND,IND_CAW1_02,IND_CAW1_02
1,Mombasa,1,Changamwe,1,Port Reitz,Kithome,Richard Kimanzi,Ind,Independent,IND,IND_CAW1_03,IND_CAW1_03
1,Mombasa,1,Changamwe,1,Port Reitz,Makarani,Fadhili Mwalimu,21,Orange Democratic Movement,ODM,ODM,21
1,Mombasa,1,Changamwe,1,Port Reitz,Masiah,Erick  Kavai,12,Wiper Democratic Movement- Kenya,WDM,WDM,12
1,Mombasa,1,Changamwe,1,Port Reitz,Mbeya,Zadock Hamish,23,Forum For Restoration Of Democracy-Kenya,FORD-KENYA,FORD-KENYA,23
1,Mombasa,1,Changamwe,1,Port Reitz,Mwambi,Jane  Ndagano,32,Communist Party Of Kenya,CPK,CPK,32
1,Mombasa,1,Changamwe,1,Port Reitz,Mwijaa,Hassan Musa,Ind,Independent,IND,IND_CAW1_04,IND_CAW1_04
1,Mombasa,1,Changamwe,1,Port Reitz,Obaje,Kenneth Onyango,44,Party Of Democratic Unity,PDU,PDU,44
1,Mombasa,1,Changamwe,1,Port Reitz,Swaleh,Mariam Farouk,49,Federal Party Of Kenya,FPK,FPK,49
1,Mombasa,1,Changamwe,1,Port Reitz,Tele,Halima Chelang'At,88,Tujibebe Wakenya Party,JIBEBE,JIBEBE,88
