County Code,101,15,17,59,Total Valid Votes,Rejected
1,161015,113700,482,2104,277301,3812
2,125541,51918,413,1137,179009,1359
3,204536,77331,1067,2552,285496,3191
4,51390,41505,198,412,93505,1068
5,26160,22876,186,848,50070,887
6,81271,29148,249,826,111494,999
7,81376,28111,77,396,109960,590
8,83486,49062,217,626,133391,1014
9,106279,28351,259,676,135565,846
10,55675,58782,144,303,114904,481
11,26449,32302,52,175,58978,536
12,103679,398946,1053,2798,506476,4809
13,15062,145081,461,974,161578,980
14,31209,187981,523,1335,221048,1899
15,235402,89419,1412,2840,329073,3324
16,304809,101456,1070,2903,410238,3759
17,229213,59195,575,1836,290819,1908
18,49228,189519,821,1048,240616,1622
19,52052,272507,982,1339,326880,2271
20,37909,220984,640,1367,260900,1823
21,73526,343349,1530,1938,420343,2554
22,210580,606429,3805,4377,825191,5635
23,96117,46696,274,445,143532,1099
24,63092,109944,194,375,173705,1258
25,41737,28329,62,220,70348,340
26,132440,116776,414,883,250513,2470
27,76009,272868,392,594,349863,2083
28,4893,160033,122,176,165224,1537
29,26034,280813,281,447,307575,1492
30,41227,175170,220,474,217091,1014
31,48908,119142,432,602,169084,1336
32,226052,455864,1819,2435,686170,5503
33,159455,148310,228,439,308432,1597
34,158556,148449,686,933,308624,1647
35,15053,318861,207,395,334516,1821
36,13383,285428,234,561,299606,1545
37,357857,141166,1237,3459,503719,5562
38,114714,67633,515,1471,184333,2115
39,145280,255906,1581,2384,405151,5516
40,226042,48801,473,1414,276730,2889
41,371092,4320,208,734,376354,1894
42,419997,10011,253,744,431005,2572
43,399784,3497,122,709,404112,2045
44,294136,52525,297,815,347773,1611
45,265078,135326,754,1678,402836,4391
46,129025,78356,345,925,208651,1997
47,767395,561775,4390,5807,1339367,12869
48,3727,2190,31,40,5988,44
