County Code,County Name,Constituency Code,Constituency  Name,County Assembly Code,County Assembly Ward Name,Registered Voters
1,Mombasa,1,Changamwe,1,Port Reitz,17817
1,Mombasa,1,Changamwe,2,Kipevu,16132
1,Mombasa,1,Changamwe,3,Airport,18557
1,Mombasa,1,Changamwe,4,Changamwe,18182
1,Mombasa,1,Changamwe,5,Chaani,22873
1,Mombasa,2,Jomvu,6,Jomvu Kuu,24243
1,Mombasa,2,Jomvu,7,Miritini,18048
1,Mombasa,2,Jomvu,8,Mikindani,32794
1,Mombasa,3,Kisauni,9,Mjambere,22692
1,Mombasa,3,Kisauni,10,Junda,25602
1,Mombasa,3,Kisauni,11,Bamburi,20470
1,Mombasa,3,Kisauni,12,Mwakirunge,6423
1,Mombasa,3,Kisauni,13,Mtopanga,19474
1,Mombasa,3,Kisauni,14,Magogoni,15105
1,Mombasa,3,Kisauni,15,Shanzu,25510
1,Mombasa,4,Nyali,16,Frere Town,24849
1,Mombasa,4,Nyali,17,Ziwa la Ng’ombe,23296
1,Mombasa,4,Nyali,18,Mkomani,24154
1,Mombasa,4,Nyali,19,Kongowea,28846
1,Mombasa,4,Nyali,20,Kadzandani,23108
1,Mombasa,5,Likoni,21,Mtongwe,13937
1,Mombasa,5,Likoni,22,Shika Adabu,15437
1,Mombasa,5,Likoni,23,Bofu,18188
1,Mombasa,5,Likoni,24,Likoni,13273
1,Mombasa,5,Likoni,25,Timbwani,33929
1,Mombasa,6,Mvita,26,Mji Wa Kale/Makadara,22341
1,Mombasa,6,Mvita,27,Tudor,22926
1,Mombasa,6,Mvita,28,Tononoka,23379
1,Mombasa,6,Mvita,29,Shimanzi/Ganjoni,18556
1,Mombasa,6,Mvita,30,Majengo,31772
2,Kwale,7,Msambweni,31,Gombato Bongwe,20551
2,Kwale,7,Msambweni,32,Ukunda,24331
2,Kwale,7,Msambweni,33,Kinondo,13463
2,Kwale,7,Msambweni,34,Ramisi,23916
2,Kwale,8,Lungalunga,35,Pongwe/Kikoneni,18833
2,Kwale,8,Lungalunga,36,Dzombo,14688
2,Kwale,8,Lungalunga,37,Mwereni,15589
2,Kwale,8,Lungalunga,38,Vanga,15744
2,Kwale,9,Matuga,39,Tsimba Golini,20453
2,Kwale,9,Matuga,40,Waa,20681
2,Kwale,9,Matuga,41,Tiwi,11016
2,Kwale,9,Matuga,42,Kubo South,12087
2,Kwale,9,Matuga,43,Mkongani,18778
2,Kwale,10,Kinango,44,Ndavaya,12743
2,Kwale,10,Kinango,45,Puma,9844
2,Kwale,10,Kinango,46,Kinango,15597
2,Kwale,10,Kinango,47,Mackinnon Road,14214
2,Kwale,10,Kinango,48,Chengoni/Samburu,15037
2,Kwale,10,Kinango,49,Mwavumbo,16243
2,Kwale,10,Kinango,50,Kasemeni,14445
3,Kilifi,11,Kilifi North,51,Tezo,14830
3,Kilifi,11,Kilifi North,52,Sokoni,23955
3,Kilifi,11,Kilifi North,53,Kibarani,15655
3,Kilifi,11,Kilifi North,54,Dabaso,13717
3,Kilifi,11,Kilifi North,55,Matsangoni,15168
3,Kilifi,11,Kilifi North,56,Watamu,15341
3,Kilifi,11,Kilifi North,57,Mnarani,18076
3,Kilifi,12,Kilifi South,58,Junju,15747
3,Kilifi,12,Kilifi South,59,Mwarakaya,12714
3,Kilifi,12,Kilifi South,60,Shimo La Tewa,32052
3,Kilifi,12,Kilifi South,61,Chasimba,14090
3,Kilifi,12,Kilifi South,62,Mtepeni,23093
3,Kilifi,13,Kaloleni,63,Mariakani,21332
3,Kilifi,13,Kaloleni,64,Kayafungo,14897
