County Code,County Name,Constituency Code,Constituency Name,Registered Voters
1,Mombasa,1,Changamwe,93561
1,Mombasa,2,Jomvu,75085
1,Mombasa,3,Kisauni,135276
1,Mombasa,4,Nyali,124253
1,Mombasa,5,Likoni,94764
1,Mombasa,6,Mvita,118974
2,Kwale,7,Msambweni,82261
2,Kwale,8,Lungalunga,64854
2,Kwale,9,Matuga,83015
2,Kwale,10,Kinango,98123
3,Kilifi,11,Kilifi North,116742
3,Kilifi,12,Kilifi South,97696
3,Kilifi,13,Kaloleni,73009
3,Kilifi,14,Rabai,59165
3,Kilifi,15,Ganze,67257
3,Kilifi,16,Malindi,94605
3,Kilifi,17,Magarini,80128
4,Tana River,18,Garsen,55453
4,Tana River,19,Galole,39965
4,Tana River,20,Bura,45678
5,Lamu,21,Lamu East,22047
5,Lamu,22,Lamu West,59406
6,Taita Taveta,23,Taveta,41031
6,Taita Taveta,24,Wundanyi,35008
6,Taita Taveta,25,Mwatate,44411
6,Taita Taveta,26,Voi,61377
7,Garissa,27,Garissa Township,53253
7,Garissa,28,Balambala,26085
7,Garissa,29,Lagdera,26949
7,Garissa,30,Dadaab,38185
7,Garissa,31,Fafi,27335
7,Garissa,32,Ijara,29666
8,Wajir,33,Wajir North,33927
8,Wajir,34,Wajir East,35794
8,Wajir,35,Tarbaj,25267
8,Wajir,36,Wajir West,31334
8,Wajir,37,Eldas,23359
8,Wajir,38,Wajir South,58077
9,Mandera,39,Mandera West,37637
9,Mandera,40,Banissa,32703
9,Mandera,41,Mandera North,45216
9,Mandera,42,Mandera South,34691
9,Mandera,43,Mandera East,48219
9,Mandera,44,Lafey,18564
10,Marsabit,45,Moyale,66402
10,Marsabit,46,North Horr,36855
10,Marsabit,47,Saku,30209
10,Marsabit,48,Laisamis,33446
11,Isiolo,49,Isiolo North,67323
11,Isiolo,50,Isiolo South,22181
12,Meru,51,Igembe South,77126
12,Meru,52,Igembe Central,93434
12,Meru,53,Igembe North,77050
12,Meru,54,Tigania West,70283
12,Meru,55,Tigania East,83527
12,Meru,56,North Imenti,96241
12,Meru,57,Buuri,82341
12,Meru,58,Central Imenti,76495
12,Meru,59,South Imenti,115642
13,Tharaka - Nithi,60,Maara,73248
13,Tharaka - Nithi,61,Chuka/Igambang'ombe,84674
13,Tharaka - Nithi,62,Tharaka,74010
14,Embu,63,Manyatta,106588
14,Embu,64,Runyenjes,95326
14,Embu,65,Mbeere South,77264
14,Embu,66,Mbeere North,55124
15,Kitui,67,Mwingi North,68829
15,Kitui,68,Mwingi West,57138
15,Kitui,69,Mwingi Central,74231
15,Kitui,70,Kitui West,59047
15,Kitui,71,Kitui Rural,55000
15,Kitui,72,Kitui Central,77764
15,Kitui,73,Kitui East,65377
15,Kitui,74,Kitui South,75372
16,Machakos,75,Masinga,68879
16,Machakos,76,Yatta,82397
16,Machakos,77,Kangundo,60796
16,Machakos,78,Matungulu,75841
16,Machakos,79,Kathiani,60224
16,Machakos,80,Mavoko,132163
16,Machakos,81,Machakos Town,117367
16,Machakos,82,Mwala,89898
17,Makueni,83,Mbooni,96029
17,Makueni,84,Kilome,59178
17,Makueni,85,Kaiti,65188
17,Makueni,86,Makueni,102712
17,Makueni,87,Kibwezi West,91554
17,Makueni,88,Kibwezi East,64740
18,Nyandarua,89,Kinangop,115547
18,Nyandarua,90,Kipipiri,54628
18,Nyandarua,91,Ol Kalou,72997
18,Nyandarua,92,Ol Jorok,60147
18,Nyandarua,93,Ndaragwa,57846
19,Nyeri,94,Tetu,54986
19,Nyeri,95,Kieni,114573
19,Nyeri,96,Mathira,104492
19,Nyeri,97,Othaya,61879
19,Nyeri,98,Mukurweini,58534
19,Nyeri,99,Nyeri Town,87168
20,Kirinyaga,100,Mwea,131714
20,Kirinyaga,101,Gichugu,92495
20,Kirinyaga,102,Ndia,69743
20,Kirinyaga,103,Kirinyaga Central,82049
21,Murang'a,104,Kangema,52002
21,Murang'a,105,Mathioya,58102
21,Murang'a,106,Kiharu,119389
21,Murang'a,107,Kigumo,82609
21,Murang'a,108,Maragwa,102383
21,Murang'a,109,Kandara,105148
21,Murang'a,110,Gatanga,101296
22,Kiambu,111,Gatundu South,79860
22,Kiambu,112,Gatundu North,71810
22,Kiambu,113,Juja,134638
22,Kiambu,114,Thika Town,156018
22,Kiambu,115,Ruiru,172088
22,Kiambu,116,Githunguri,104592
22,Kiambu,117,Kiambu,86986
22,Kiambu,118,Kiambaa,104268
22,Kiambu,119,Kabete,91775
22,Kiambu,120,Kikuyu,98758
22,Kiambu,121,Limuru,93019
22,Kiambu,122,Lari,81196
23,Turkana,123,Turkana North,42937
23,Turkana,124,Turkana West,42673
23,Turkana,125,Turkana Central,55971
23,Turkana,126,Loima,36515
23,Turkana,127,Turkana South,40432
23,Turkana,128,Turkana East,20000
24,West Pokot,129,Kapenguria,66540
24,West Pokot,130,Sigor,43934
24,West Pokot,131,Kacheliba,51146
24,West Pokot,132,Pokot South,58406
25,Samburu,133,Samburu West,43390
25,Samburu,134,Samburu North,29830
25,Samburu,135,Samburu East,26794
26,Trans Nzoia,136,Kwanza,75839
26,Trans Nzoia,137,Endebess,50688
26,Trans Nzoia,138,Saboti,87384
26,Trans Nzoia,139,Kiminini,93240
26,Trans Nzoia,140,Cherangany,91830
27,Uasin Gishu,141,Soy,92702
27,Uasin Gishu,142,Turbo,120202
27,Uasin Gishu,143,Moiben,77877
27,Uasin Gishu,144,Ainabkoi,62606
27,Uasin Gishu,145,Kapseret,74809
27,Uasin Gishu,146,Kesses,77942
28,Elgeyo/Marakwet,147,Marakwet East,43672
28,Elgeyo/Marakwet,148,Marakwet West,58568
28,Elgeyo/Marakwet,149,Keiyo North,49247
28,Elgeyo/Marakwet,150,Keiyo South,62397
29,Nandi,151,Tinderet,51446
29,Nandi,152,Aldai,78005
29,Nandi,153,Nandi Hills,57910
29,Nandi,154,Chesumei,74201
29,Nandi,155,Emgwen,66940
29,Nandi,156,Mosop,77786
30,Baringo,157,Tiaty,39059
30,Baringo,158,Baringo North,50287
30,Baringo,159,Baringo Central,45920
30,Baringo,160,Baringo South,42791
30,Baringo,161,Mogotio,38922
30,Baringo,162,Eldama Ravine,64074
31,Laikipia,163,Laikipia West,118865
31,Laikipia,164,Laikipia East,96395
31,Laikipia,165,Laikipia North,47752
